year,London.LA,cities.LA,retail.LA
1996,0.13252209020891997,0.06686764371898635,0.10186426215657256
1997,0.2402876392543098,0.1030607325606971,0.11688341115748883
1998,0.19935797236202144,0.11190526360590569,0.16996218903997426
1999,0.17460625064154833,0.11583982185534802,0.18429895807509944
2000,0.11484855100755667,0.11993526044909228,0.1134270079030026
2001,0.03928917533099547,0.12384859250032125,0.08835014385087915
2002,0.030271398083664545,0.1278556919685162,0.0634386786861028
2003,0.02632973653871315,0.13527913835483815,0.059693533853405985
2004,0.01342127312002399,0.14145811761630744,0.05017943817888085
2005,0.003374989470955432,0.1348557351914375,0.037019772302156986
2006,0.0019333688032212625,0.13191024581060676,0.01976500452839977
2007,0.0011044127807877371,0.1315235254915319,0.02186447852445008
2008,8.08954724267961e-4,0.13051277017787738,0.018380238095121012
2009,7.070156117923094e-4,0.1384611221834735,0.043790421154699666
2010,7.658895973946075e-4,0.13823806465847138,0.05323323734511307
2011,0.0016303265580058029,0.14751900124757011,0.05918712263033767
2012,3.21692660590906e-4,0.14555505140677363,0.055479078037855234
