gini(a$n),year
0.9948463638666207,1996
0.9891635701465352,1997
0.9704112044824971,1998
0.9539222075807966,1999
0.9291387982795137,2000
0.843628403145874,2001
0.8203500185469297,2002
0.7960442843581387,2003
0.7697997559862388,2004
0.7673086227798442,2005
0.7884764265024445,2006
0.7607710124333318,2007
0.7370558790930068,2008
0.7503801675662338,2009
0.730299927468876,2010
0.7282133450809591,2011
0.7261616477094153,2012
