morani,p,year
0.5867237244996443,7.6372731280082e-67,2012
0.5824387216272703,6.312514270735749e-66,2011
0.6009466611621967,5.3564293358297966e-70,2010
0.599441236638341,1.1475504332940926e-69,2009
0.6332606708188836,1.9375004245821765e-77,2008
0.5936478653648106,1.9719245395557555e-68,2007
0.5656896765249668,2.3786877501503706e-62,2006
0.5488404320979736,7.15817131827739e-59,2005
0.5123585722557499,1.2026775233356518e-51,2004
0.4763781914183298,6.498919475829486e-45,2003
0.45543386311432044,2.757166089957902e-41,2002
0.4125829896780688,3.0749466362048483e-34,2001
0.3575211570388354,2.727570618878293e-26,2000
0.4157255553022732,9.630753427333761e-35,1999
0.4072246524331181,2.0275259128485932e-33,1998
0.38673780513766914,1.7899007303199807e-30,1997
0.2562148161386747,9.437580857684653e-15,1996
