variable,importance
"London's wensite density, t-1",0
"Nearest city's wensite density, t-1",10.529990172875102
"Nearest retail centre's wensite density, t-1",51.303115747712255
spatial and temporal lag of wensite density,74.18289815055043
year,1.3817970660327514
distance to London,100
distance to the nearest city,93.94464569657978
distance to the nearest retail centre,65.73771340845205
