globalS.standard,globalS.robust,year
0.9279808920832986,0.8546657924581798,2012
0.9953240047594167,0.9917515393254076,2011
0.9936336215034313,0.9887460805314955,2010
0.9937433866499238,0.9883668721172293,2009
0.9951966771894853,0.9907820899546688,2008
0.9953327859711362,0.9906847538426485,2007
0.9958596586743005,0.9907205132746846,2006
0.9953854732414525,0.989743839960966,2005
0.9974710110248113,0.9943467891529016,2004
0.9961582198727602,0.9911194560032477,2003
0.9970758564974381,0.9919328463970348,2002
0.9977300567705337,0.9926063639613872,2001
0.9920047067294816,0.9655420364448313,2000
0.9992931124565879,0.9924466338259442,1999
0.9997585166777163,0.9956886415301404,1998
0.9996794857722417,0.9902536715620828,1997
0.999956093941403,0.9962658700522778,1996
