globalS.standard,globalS.robust,year
0.588986604261522,0.17057697760136092,2012
0.7303245974912078,0.5242922975641869,2011
0.7187202262040139,0.5027785539101549,2010
0.7465347143252298,0.5287236213723009,2009
0.7340917373188326,0.4897035776276099,2008
0.7114449922944867,0.4240759240759241,2007
0.7354045284708837,0.40697880380232626,2006
0.7644659486562551,0.4765064649914613,2005
0.8254470734416642,0.6098106763242352,2004
0.7585430213515163,0.4418552725058358,2003
0.7909720362312795,0.42333175866371114,2002
0.8247226234748133,0.4290883089023954,2001
0.8941117584815529,0.5436448615815467,2000
0.9543640426942513,0.5123621862538119,1999
0.9731338827444799,0.5203417731441562,1998
0.9883912381069464,0.646995994659546,1997
0.9952888799125391,0.59932785660941,1996
