rowname,n,n.London.lag,n.nearest.city.lag,n.l.slag,year,London,dist
n,1,0.8139979662352747,0.8068424699873099,0.8336762629745863,0.8040427094492681,-0.07730077933007408,0.021006634040456697
n.London.lag,0.8139979662352747,1,0.9462875311053552,0.9416357368361586,0.9521926586088038,1.8450638165688333e-19,-1.7513480228147103e-18
n.nearest.city.lag,0.8068424699873099,0.9462875311053552,1,0.9280314100324067,0.9064452934073142,-0.06731922139532269,0.027370553418889283
n.l.slag,0.8336762629745863,0.9416357368361586,0.9280314100324067,1,0.8996049690769437,-0.06550552720498903,0.02390393273405225
year,0.8040427094492681,0.9521926586088038,0.9064452934073142,0.8996049690769437,1,4.532171721535773e-18,1.5792708495622483e-18
London,-0.07730077933007408,1.8450638165688333e-19,-0.06731922139532269,-0.06550552720498903,4.532171721535773e-18,1,0.3795000297216706
dist,0.021006634040456697,-1.7513480228147103e-18,0.027370553418889283,0.02390393273405225,1.5792708495622483e-18,0.3795000297216706,1
