rowname,n,abs.growth,n.l.slag,n.nearest.city.lag,n.nearest.retail.lag,n.London.lag,London,dist,dist.retail
n,1,0.35866322921833194,0.5002175812585219,0.09086407607245306,0.24477806222962284,0.09773623822606023,-0.06565742606852129,-0.010658579371305746,-0.022978910611932697
abs.growth,0.35866322921833194,1,0.0800415046228114,0.002799735930103938,0.03496040296148375,-0.017629817308048426,-0.024067705353035606,-0.003936944710582725,-0.00788639827262422
n.l.slag,0.5002175812585219,0.0800415046228114,1,0.16703724072016327,0.38667948351798254,0.18796121940593036,-0.1102853330913165,-0.009588719954028638,-0.03245254110285342
n.nearest.city.lag,0.09086407607245306,0.002799735930103938,0.16703724072016327,1,0.09413417245684515,0.39476812383504956,-0.4970889438994622,-0.033255206443604926,-0.11209692569355481
n.nearest.retail.lag,0.24477806222962284,0.03496040296148375,0.38667948351798254,0.09413417245684515,1,0.11260862811701104,-0.031128146830979878,-0.015179597666417962,-0.016733568536671562
n.London.lag,0.09773623822606023,-0.017629817308048426,0.18796121940593036,0.39476812383504956,0.11260862811701104,1,-2.8773730573107863e-16,4.784283977240579e-16,-2.903304157674291e-14
London,-0.06565742606852129,-0.024067705353035606,-0.1102853330913165,-0.4970889438994622,-0.031128146830979878,-2.8773730573107863e-16,1,0.23177633308936998,0.2851585585912627
dist,-0.010658579371305746,-0.003936944710582725,-0.009588719954028638,-0.033255206443604926,-0.015179597666417962,4.784283977240579e-16,0.23177633308936998,1,0.280410728206929
dist.retail,-0.022978910611932697,-0.00788639827262422,-0.03245254110285342,-0.11209692569355481,-0.016733568536671562,-2.903304157674291e-14,0.2851585585912627,0.280410728206929,1
