rowname,n,abs.growth,n.l.slag,n.nearest.city.lag,n.nearest.retail.lag,n.London.lag,London,dist,dist.retail
n,NA,0,0,0,0,0,0,0,0
abs.growth,0,NA,0,6.754788706153647e-8,0,0,0,3.197442310920451e-14,0
n.l.slag,0,0,NA,0,0,0,0,0,0
n.nearest.city.lag,0,6.754788706153647e-8,0,NA,0,0,0,0,0
n.nearest.retail.lag,0,0,0,0,NA,0,0,0,0
n.London.lag,0,0,0,0,0,NA,0.9999999999995575,0.9999999999992641,0.9999999999553406
London,0,0,0,0,0,0.9999999999995575,NA,0,0
dist,0,3.197442310920451e-14,0,0,0,0.9999999999992641,0,NA,0
dist.retail,0,0,0,0,0,0.9999999999553406,0,0,NA
