rowname,n,n.London.lag,n.nearest.city.lag,n.l.slag,year,London,dist
n,NA,0,0,0,0,2.1320287757475853e-9,0.1041975783470761
n.London.lag,0,NA,0,0,0,1,1
n.nearest.city.lag,0,0,NA,0,0,1.8642049859352028e-7,0.034239522712602444
n.l.slag,0,0,0,NA,0,3.9437023668931204e-7,0.06445808594984648
year,0,0,0,0,NA,0.9999999999999998,1
London,2.1320287757475853e-9,1,1.8642049859352028e-7,3.9437023668931204e-7,0.9999999999999998,NA,0
dist,0.1041975783470761,1,0.034239522712602444,0.06445808594984648,1,0,NA
