rowname,n,n.London.lag,n.nearest.city.lag,n.l.slag,year,London,dist
n,NA,0,0,0,0,3.513781324127052e-5,3.038208839845069e-6
n.London.lag,0,NA,0,0,0,0.9999999999999998,0.9999999999999998
n.nearest.city.lag,0,0,NA,0,0,2.7504412081214014e-9,0.30974817010014055
n.l.slag,0,0,0,NA,0,1.3757411392312235e-4,1.126622029890001e-6
year,0,0,0,0,NA,0.9999999999999998,1
London,3.513781324127052e-5,0.9999999999999998,2.7504412081214014e-9,1.3757411392312235e-4,0.9999999999999998,NA,0
dist,3.038208839845069e-6,0.9999999999999998,0.30974817010014055,1.126622029890001e-6,1,0,NA
