rowname,n,n.London.lag,n.nearest.city.lag,n.l.slag,year,London,dist
n,1,0.872316675279368,0.8773246086707073,0.9042493952129014,0.8745063143966436,-0.05345692241508431,0.06030464780322001
n.London.lag,0.872316675279368,1,0.9769503645072835,0.9434393537676234,0.9787461599430156,2.8259043513255875e-18,-2.29292207618805e-18
n.nearest.city.lag,0.8773246086707073,0.9769503645072835,1,0.9517195185180981,0.9535440461569211,-0.07676560861232207,0.01313298055911949
n.l.slag,0.9042493952129014,0.9434393537676234,0.9517195185180981,1,0.9192035722786571,-0.04926514999440687,0.06288203870589097
year,0.8745063143966436,0.9787461599430156,0.9535440461569211,0.9192035722786571,1,4.532171721535773e-18,1.5792708495622483e-18
London,-0.05345692241508431,2.8259043513255875e-18,-0.07676560861232207,-0.04926514999440687,4.532171721535773e-18,1,0.3795000297216706
dist,0.06030464780322001,-2.29292207618805e-18,0.01313298055911949,0.06288203870589097,1.5792708495622483e-18,0.3795000297216706,1
